"plots","block","trtIWG","entry"
101,"1","MN Clearwater",8
102,"1","TLI 703",6
103,"1","TLI C5",1
104,"1","TLI C4",12
105,"1","TLI 701",7
106,"1","TLI C3",5
107,"1"," TLI 801",11
108,"1","Ohae",4
109,"1","TLI 3471",3
110,"1","TLI 704",10
111,"1","Rush",9
112,"1","Manifest",2
201,"2","Manifest",2
202,"2","TLI C4",12
203,"2","MN Clearwater",8
204,"2","Rush",9
205,"2","TLI 703",6
206,"2","Ohae",4
207,"2","TLI C5",1
208,"2","TLI 3471",3
209,"2","TLI 704",10
210,"2","TLI 701",7
211,"2","TLI C3",5
212,"2"," TLI 801",11
301,"3"," TLI 801",11
302,"3","TLI 701",7
303,"3","Rush",9
304,"3","MN Clearwater",8
305,"3","TLI 704",10
306,"3","TLI 703",6
307,"3","TLI 3471",3
308,"3","Manifest",2
309,"3","TLI C3",5
310,"3","Ohae",4
311,"3","TLI C5",1
312,"3","TLI C4",12
401,"4","TLI 701",7
402,"4","TLI 703",6
403,"4","TLI 704",10
404,"4","TLI C5",1
405,"4","TLI 3471",3
406,"4","TLI C3",5
407,"4"," TLI 801",11
408,"4","Rush",9
409,"4","TLI C4",12
410,"4","Manifest",2
411,"4","Ohae",4
412,"4","MN Clearwater",8
