Year,General_crop,trt_name,plot_code,Threshed_grain_no_bag(g)
2022,iwg,0N_spring,FER2101,47.6
2022,iwg,40N_spring,FER2102,117.7
2022,iwg,120N_spring,FER2104,121.9
2022,iwg,160N_spring,FER2105,84.3
2022,iwg,80N_spring,FER2106,130.5
2022,iwg,40-40N_split,FER2107,59.5
2022,iwg,80N_spring_noP,FER2108,77.7
2022,iwg,80N_fall,FER2109,59.9
2022,iwg,80N_spring_noPK,FER2111,71.1
2022,iwg,160N_fall_manure,FER2112,113
2022,iwg,120N_spring,FER2201,177.2
2022,iwg,40-40N_split,FER2202,92.2
2022,iwg,0N_spring,FER2204,57
2022,iwg,160N_spring,FER2205,180.3
2022,iwg,160N_fall_manure,FER2206,86.2
2022,iwg,40N_spring,FER2207,73.2
2022,iwg,80N_spring,FER2208,115.3
2022,iwg,80N_spring_noP,FER2209,122.4
2022,iwg,80N_fall,FER2210,141.6
2022,iwg,80N_spring_noPK,FER2212,128.8
2022,iwg,40-40N_split,FER2301,54.9
2022,iwg,160N_fall_manure,FER2302,129.4
2022,iwg,80N_spring_noP,FER2304,79.5
2022,iwg,120N_spring,FER2305,173.8
2022,iwg,80N_fall,FER2307,99.2
2022,iwg,0N_spring,FER2308,74.8
2022,iwg,80N_spring_noPK,FER2309,83.3
2022,iwg,80N_spring,FER2310,90.1
2022,iwg,160N_spring,FER2311,117
2022,iwg,40N_spring,FER2312,99.4
2022,iwg,120N_spring,FER2402,67.6
2022,iwg,40-40N_split,FER2403,75.1
2022,iwg,160N_fall_manure,FER2404,89.4
2022,iwg,80N_spring,FER2405,67.1
2022,iwg,160N_spring,FER2406,105.4
2022,iwg,80N_spring_noP,FER2407,51.7
2022,iwg,80N_spring_noPK,FER2408,36.4
2022,iwg,0N_spring,FER2409,39.6
2022,iwg,40N_spring,FER2410,79.8
2022,iwg,80N_fall,FER2412,51.5
