"","plots","subsample","density"
"1",101,"a",""
"2",101,"b",""
"3",102,"a",""
"4",102,"b",""
"5",103,"a",""
"6",103,"b",""
"7",104,"a",""
"8",104,"b",""
"9",105,"a",""
"10",105,"b",""
"11",106,"a",""
"12",106,"b",""
"13",201,"a",""
"14",201,"b",""
"15",202,"a",""
"16",202,"b",""
"17",203,"a",""
"18",203,"b",""
"19",204,"a",""
"20",204,"b",""
"21",205,"a",""
"22",205,"b",""
"23",206,"a",""
"24",206,"b",""
"25",301,"a",""
"26",301,"b",""
"27",302,"a",""
"28",302,"b",""
"29",303,"a",""
"30",303,"b",""
"31",304,"a",""
"32",304,"b",""
"33",305,"a",""
"34",305,"b",""
"35",306,"a",""
"36",306,"b",""
"37",401,"a",""
"38",401,"b",""
"39",402,"a",""
"40",402,"b",""
"41",403,"a",""
"42",403,"b",""
"43",404,"a",""
"44",404,"b",""
"45",405,"a",""
"46",405,"b",""
"47",406,"a",""
"48",406,"b",""
